owner	returnNo	orderNo	paymentCode	returnType	shippingAgent	customerNo	bill_customerNo	shipmentDate	postingDate
IW	Ret098093	ORD154877	BILL	CUSTOMER_RA	DHL	KNR540821	KNR540821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098095	ORD153398	BILL	CUSTOMER_RA	HERMES	KNR389621	KNR389621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098096	ORD156668	BILL	CUSTOMER_RA	HERMES	KNR553921	KNR553921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098097	ORD148858	MASTER	CUSTOMER_RA	DHL	KNR347321	KNR347321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098099	ORD155774	BILL	CUSTOMER_RA	DHL	KNR207821	KNR207821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098100	ORD153964	BILL	CUSTOMER_RA	HERMES	KNR583721	KNR583721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098102	ORD156028	BILL	CUSTOMER_RA	DHL	KNR298821	KNR298821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098107	ORD159326	BILL	CARRIER_SO	DHL	KNR723131	KNR723131	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098108	ORD156488	BILL	CUSTOMER_RA	HERMES	KNR222921	KNR222921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098110	ORD149935	VISA	CUSTOMER_RA	HERMES	KNR015421	KNR015421	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098112	ORD157542	BILL	CUSTOMER_RA	DHL	KNR300031	KNR300031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098114	ORD153306	BILL	CUSTOMER_RA	HERMES	KNR419621	KNR419621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098115	ORD151047	BILL	CUSTOMER_RA	HERMES	KNR292521	KNR292521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098120	ORD143468	BILL	CUSTOMER_RA	DHL	KNR397911	KNR397911	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098124	ORD153189	BILL	CUSTOMER_RA	HERMES	KNR038621	KNR038621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098126	ORD147979	BILL	CUSTOMER_RA	HERMES	KNR711321	KNR711321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098127	ORD152320	BILL	CUSTOMER_RA	HERMES	KNR171621	KNR171621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098128	ORD154153	BILL	CUSTOMER_RA	DHL	KNR335721	KNR335721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098136	ORD153493	BILL	CUSTOMER_RA	DHL	KNR840721	KNR840721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098137	ORD148663	BILL	CUSTOMER_RA	HERMES	KNR406321	KNR406321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098138	ORD153140	BILL	CUSTOMER_RA	HERMES	KNR987621	KNR987621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098139	ORD156205	MASTER	CUSTOMER_RA	HERMES	KNR720921	KNR720921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098141	ORD156691	BILL	CUSTOMER_RA	HERMES	KNR073921	KNR073921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098145	ORD155348	BILL	CUSTOMER_RA	DHL	KNR493821	KNR493821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098146	ORD145959	BILL	CARRIER_UV	HERMES	KNR595121	KNR595121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098153	ORD152118	BILL	CUSTOMER_RA	HERMES	KNR830621	KNR830621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098154	ORD154735	VISA	CUSTOMER_RA	DHL	KNR559721	KNR559721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098156	ORD157866	BILL	CUSTOMER_RA	DHL	KNR652031	KNR652031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098159	ORD157645	BILL	CUSTOMER_RA	DHL	KNR480031	KNR480031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098160	ORD154017	BILL	CUSTOMER_RA	HERMES	KNR624721	KNR624721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098161	ORD153247	BILL	CUSTOMER_RA	HERMES	KNR868621	KNR868621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098163	ORD150515	BILL	CUSTOMER_RA	HERMES	KNR339421	KNR339421	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098166	ORD154036	BILL	CUSTOMER_RA	DHL	KNR244721	KNR244721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098169	ORD145658	BILL	CUSTOMER_RA	HERMES	KNR463121	KNR463121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098170	ORD153402	MASTER	CUSTOMER_RA	DHL	KNR589621	KNR589621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098173	ORD145343	BILL	CARRIER_NA	HERMES	KNR321121	KNR321121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098174	ORD144239	BILL	CUSTOMER_RA	DHL	KNR923021	KNR923021	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098180	ORD153207	BILL	CUSTOMER_RA	HERMES	KNR048621	KNR048621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098181	ORD155805	VISA	CUSTOMER_RA	HERMES	KNR727821	KNR727821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098182	ORD153046	VISA	CUSTOMER_RA	DHL	KNR617621	KNR617621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098183	ORD146084	BILL	CUSTOMER_RA	HERMES	KNR986121	KNR986121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098184	ORD146295	BILL	CUSTOMER_RA	HERMES	KNR448121	KNR448121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098186	ORD150841	VISA	CUSTOMER_RA	DHL	KNR551521	KNR551521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098187	ORD150759	BILL	CUSTOMER_RA	DHL	KNR301521	KNR301521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098189	ORD156799	BILL	CUSTOMER_RA	DHL	KNR344921	KNR344921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098190	ORD157831	BILL	CUSTOMER_RA	DHL	KNR822031	KNR822031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098191	ORD147688	BILL	CUSTOMER_RA	DHL	KNR398221	KNR398221	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098195	ORD155339	MASTER	CUSTOMER_RA	DHL	KNR883821	KNR883821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098196	ORD154548	BILL	CUSTOMER_RA	HERMES	KNR328721	KNR328721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098197	ORD150686	BILL	CUSTOMER_RA	HERMES	KNR250521	KNR250521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098200	ORD154029	BILL	CUSTOMER_RA	HERMES	KNR734721	KNR734721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098201	ORD151213	BILL	CUSTOMER_RA	HERMES	KNR214521	KNR214521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098202	ORD147858	BILL	CUSTOMER_RA	DHL	KNR320321	KNR320321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098206	ORD151043	BILL	CUSTOMER_RA	DHL	KNR092521	KNR092521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098207	ORD151783	BILL	CUSTOMER_RA	DHL	KNR418521	KNR418521	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098209	ORD156722	BILL	CUSTOMER_RA	DHL	KNR493921	KNR493921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098210	ORD154038	BILL	CUSTOMER_RA	DHL	KNR344721	KNR344721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098212	ORD154663	BILL	CUSTOMER_RA	HERMES	KNR898721	KNR898721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098216	ORD152118	BILL	CUSTOMER_RA	HERMES	KNR830621	KNR830621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098217	ORD148869	BILL	CUSTOMER_RA	HERMES	KNR057321	KNR057321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098220	ORD146328	BILL	CUSTOMER_RA	DHL	KNR968121	KNR968121	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098222	ORD155100	BILL	CUSTOMER_RA	HERMES	KNR212821	KNR212821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098224	ORD152224	BILL	CUSTOMER_RA	HERMES	KNR701621	KNR701621	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098226	ORD158131	BILL	CUSTOMER_RA	HERMES	KNR844031	KNR844031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098227	ORD144392	BILL	CUSTOMER_RA	HERMES	KNR524021	KNR524021	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098228	ORD153684	BILL	CUSTOMER_RA	DHL	KNR191721	KNR191721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098229	ORD146810	BILL	CUSTOMER_RA	HERMES	KNR822221	KNR822221	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098230	ORD148426	MASTER	CUSTOMER_RA	HERMES	KNR924321	KNR924321	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098234	ORD155149	BILL	CUSTOMER_RA	HERMES	KNR942821	KNR942821	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098237	ORD157675	BILL	CUSTOMER_RA	DHL	KNR901031	KNR901031	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
